,province,country,latitude,longitude,confirmed_cases,deaths,recovered,data_source,country_code,region,country_flag,Observation Date
185,Shaanxi,China,35.86166,104.195397,15,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
186,Yunnan,China,35.86166,104.195397,11,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
187,Tianjin,China,35.86166,104.195397,10,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
188,Heilongjiang,China,35.86166,104.195397,9,1.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
189,Hebei,China,35.86166,104.195397,8,1.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
190,Shanxi,China,35.86166,104.195397,6,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
191,Guizhou,China,35.86166,104.195397,5,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
192,Hong Kong,China,35.86166,104.195397,5,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
194,Jilin,China,35.86166,104.195397,4,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
196,Xinjiang,China,35.86166,104.195397,3,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
197,Ningxia,China,35.86166,104.195397,3,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
198,Taiwan,China,35.86166,104.195397,3,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
203,Gansu,China,35.86166,104.195397,2,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
204,Inner Mongolia,China,35.86166,104.195397,2,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
205,Macau,China,35.86166,104.195397,2,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
209,Qinghai,China,35.86166,104.195397,1,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
211,Hubei,China,35.86166,104.195397,1052,52.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
212,Guangdong,China,35.86166,104.195397,111,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
213,Zhejiang,China,35.86166,104.195397,104,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
214,Henan,China,35.86166,104.195397,83,1.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
215,Chongqing,China,35.86166,104.195397,75,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
216,Hunan,China,35.86166,104.195397,69,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
217,Beijing,China,35.86166,104.195397,68,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
218,Anhui,China,35.86166,104.195397,60,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
219,Shandong,China,35.86166,104.195397,46,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
220,Sichuan,China,35.86166,104.195397,44,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
221,Shanghai,China,35.86166,104.195397,40,1.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
222,Guangxi,China,35.86166,104.195397,36,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
223,Jiangxi,China,35.86166,104.195397,36,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
224,Fujian,China,35.86166,104.195397,35,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
225,Jiangsu,China,35.86166,104.195397,31,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
226,Hainan,China,35.86166,104.195397,22,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
227,Shaanxi,China,35.86166,104.195397,22,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
228,Liaoning,China,35.86166,104.195397,21,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
229,Heilongjiang,China,35.86166,104.195397,15,1.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
230,Tianjin,China,35.86166,104.195397,13,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
231,Hebei,China,35.86166,104.195397,13,1.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
232,Yunnan,China,35.86166,104.195397,11,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
